Trace monitoring started at 2025-04-24T22:04:03.339Z
[2025-04-24T23:51:51.731Z] Swaps captured: -1, Highest block: 0
[2025-04-24T23:52:03.927Z] Swaps captured: -1, Highest block: 0
[2025-04-24T23:52:51.137Z] Swaps captured: -1, Highest block: 0
[2025-04-24T23:53:03.930Z] Swaps captured: -1, Highest block: 0
[2025-04-24T23:53:51.150Z] Swaps captured: -1, Highest block: 0
[2025-04-24T23:54:03.953Z] Swaps captured: -1, Highest block: 0
[2025-04-24T23:54:51.164Z] Swaps captured: -1, Highest block: 0
[2025-04-24T23:55:03.932Z] Swaps captured: -1, Highest block: 0
[2025-04-24T23:55:51.147Z] Swaps captured: -1, Highest block: 0
[2025-04-24T23:56:03.933Z] Swaps captured: -1, Highest block: 0
[2025-04-24T23:56:51.147Z] Swaps captured: -1, Highest block: 0
[2025-04-24T23:57:03.956Z] Swaps captured: -1, Highest block: 0
[2025-04-24T23:57:51.148Z] Swaps captured: -1, Highest block: 0
[2025-04-24T23:58:03.945Z] Swaps captured: -1, Highest block: 0
[2025-04-24T23:58:51.158Z] Swaps captured: -1, Highest block: 0
[2025-04-24T23:59:03.941Z] Swaps captured: -1, Highest block: 0
[2025-04-24T23:59:51.159Z] Swaps captured: -1, Highest block: 0
[2025-04-25T00:00:03.961Z] Swaps captured: -1, Highest block: 0
[2025-04-25T00:00:51.163Z] Swaps captured: -1, Highest block: 0
[2025-04-25T00:01:03.952Z] Swaps captured: -1, Highest block: 0
[2025-04-25T00:01:51.174Z] Swaps captured: -1, Highest block: 0
[2025-04-25T00:02:03.983Z] Swaps captured: -1, Highest block: 0
[2025-04-25T00:02:51.175Z] Swaps captured: -1, Highest block: 0
[2025-04-25T00:03:03.974Z] Swaps captured: -1, Highest block: 0
[2025-04-25T00:03:51.177Z] Swaps captured: -1, Highest block: 0
[2025-04-25T00:04:03.985Z] Swaps captured: -1, Highest block: 0
[2025-04-25T00:04:51.181Z] Swaps captured: -1, Highest block: 0
[2025-04-25T00:05:03.964Z] Swaps captured: -1, Highest block: 0
[2025-04-25T00:05:51.182Z] Swaps captured: -1, Highest block: 0
[2025-04-25T00:06:03.984Z] Swaps captured: -1, Highest block: 0
[2025-04-25T00:06:51.178Z] Swaps captured: -1, Highest block: 0
[2025-04-25T00:07:03.999Z] Swaps captured: -1, Highest block: 0
[2025-04-25T00:07:51.184Z] Swaps captured: -1, Highest block: 0
[2025-04-25T00:08:03.976Z] Swaps captured: -1, Highest block: 0
[2025-04-25T00:08:51.190Z] Swaps captured: -1, Highest block: 0
[2025-04-25T00:09:03.979Z] Swaps captured: -1, Highest block: 0
[2025-04-25T00:09:51.199Z] Swaps captured: -1, Highest block: 0
[2025-04-25T00:10:03.984Z] Swaps captured: -1, Highest block: 0
[2025-04-25T00:10:51.187Z] Swaps captured: -1, Highest block: 0
[2025-04-25T00:11:04.156Z] Swaps captured: -1, Highest block: 0
[2025-04-25T00:11:51.190Z] Swaps captured: -1, Highest block: 0
[2025-04-25T00:12:04.038Z] Swaps captured: -1, Highest block: 0
[2025-04-25T00:12:51.196Z] Swaps captured: -1, Highest block: 0
[2025-04-25T00:13:03.995Z] Swaps captured: -1, Highest block: 0
[2025-04-25T00:13:51.210Z] Swaps captured: -1, Highest block: 0
[2025-04-25T00:14:04.018Z] Swaps captured: -1, Highest block: 0
[2025-04-25T00:14:51.220Z] Swaps captured: -1, Highest block: 0
[2025-04-25T00:15:04.001Z] Swaps captured: -1, Highest block: 0
